borough,year,count
Bronx,2019,33
Bronx,2020,26
Bronx,2021,49
Bronx,2022,43
Brooklyn,2019,190
Brooklyn,2020,105
Brooklyn,2021,152
Brooklyn,2022,245
Manhattan,2019,138
Manhattan,2020,86
Manhattan,2021,240
Manhattan,2022,251
Queens,2019,76
Queens,2020,49
Queens,2021,113
Queens,2022,98
Statenisland,2019,10
Statenisland,2020,18
Statenisland,2021,21
Statenisland,2022,28
