ZIP CODE,BOROUGH,SALE PRICE,log_saleprice,pop_est,number_of_schools,hate_count,borough_name
10469,2,467500,13.055154627710879,73870.0,5.0,151,BRONX
10469,2,305000,12.628067055589549,73870.0,5.0,151,BRONX
10469,2,298700,12.6071950042042,73870.0,5.0,151,BRONX
10469,2,110000,11.608235644774552,73870.0,5.0,151,BRONX
10469,2,345000,12.751299696013497,73870.0,5.0,151,BRONX
10469,2,320000,12.676076274775909,73870.0,5.0,151,BRONX
10469,2,335000,12.721885810807203,73870.0,5.0,151,BRONX
10469,2,308000,12.637855061955712,73870.0,5.0,151,BRONX
10469,2,10,2.302585092994046,73870.0,5.0,151,BRONX
10469,2,400000,12.89921982609012,73870.0,5.0,151,BRONX
10469,2,22000,9.998797732340453,73870.0,5.0,151,BRONX
10469,2,230000,12.345834587905333,73870.0,5.0,151,BRONX
10469,2,645000,13.37700559577791,73870.0,5.0,151,BRONX
10469,2,460000,13.038981768465277,73870.0,5.0,151,BRONX
10469,2,300000,12.611537753638338,73870.0,5.0,151,BRONX
10469,2,300000,12.611537753638338,73870.0,5.0,151,BRONX
10469,2,369000,12.818551923022664,73870.0,5.0,151,BRONX
10469,2,152000,11.931635799828413,73870.0,5.0,151,BRONX
10469,2,218000,12.292250341771226,73870.0,5.0,151,BRONX
10466,2,300000,12.611537753638338,72479.0,3.0,151,BRONX
10466,2,176500,12.081076155355488,72479.0,3.0,151,BRONX
10466,2,159750,11.98136537223978,72479.0,3.0,151,BRONX
10466,2,347500,12.758519943986984,72479.0,3.0,151,BRONX
10466,2,220000,12.301382825334498,72479.0,3.0,151,BRONX
10466,2,425880,12.961912895428542,72479.0,3.0,151,BRONX
10466,2,212000,12.26434155365415,72479.0,3.0,151,BRONX
10466,2,75000,11.225243392518447,72479.0,3.0,151,BRONX
10466,2,389000,12.871334622600584,72479.0,3.0,151,BRONX
10466,2,280000,12.542544882151386,72479.0,3.0,151,BRONX
10466,2,369500,12.819906019370393,72479.0,3.0,151,BRONX
10466,2,368000,12.815838217151068,72479.0,3.0,151,BRONX
10466,2,368000,12.815838217151068,72479.0,3.0,151,BRONX
10466,2,420000,12.948009990259552,72479.0,3.0,151,BRONX
10466,2,360000,12.793859310432293,72479.0,3.0,151,BRONX
10466,2,360000,12.793859310432293,72479.0,3.0,151,BRONX
10466,2,100,4.605170185988092,72479.0,3.0,151,BRONX
10466,2,330000,12.706847933442663,72479.0,3.0,151,BRONX
